Attr,Top 3 Highest,Top 3 Lowest
Short_Cmp%,"Top 1: Odisseas Vlachodimos(Team: Nott'ham Forest)
Top 2: Matt Turner(Team: Nott'ham Forest)
Top 3: Mark Travers(Team: Bournemouth)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
Medium_Cmp,"Top 1: Virgil van Dijk(Team: Liverpool)
Top 2: Lewis Dunk(Team: Brighton)
Top 3: William Saliba(Team: Arsenal)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
Medium_Att,"Top 1: Lewis Dunk(Team: Brighton)
Top 2: Virgil van Dijk(Team: Liverpool)
Top 3: William Saliba(Team: Arsenal)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
Medium_Cmp%,"Top 1: Joe White(Team: Newcastle Utd)
Top 2: Deivid Washington(Team: Chelsea)
Top 3: Lewis Warrington(Team: Everton)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Steven Alzate(Team: Brighton)"
Long_Cmp,"Top 1: Jordan Pickford(Team: Everton)
Top 2: Mark Flekken(Team: Brentford)
Top 3: Thomas Kaminski(Team: Luton Town)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
Long_Att,"Top 1: Jordan Pickford(Team: Everton)
Top 2: Thomas Kaminski(Team: Luton Town)
Top 3: Mark Flekken(Team: Brentford)","Top 1 from bottom: Val Adedokun(Team: Brentford)
Top 2 from bottom: : Adrián(Team: Liverpool)
Top 3 from bottom: : Brandon Aguilera(Team: Nott'ham Forest)"
Long_Cmp%,"Top 1: Joe White(Team: Newcastle Utd)
Top 2: Lewis Warrington(Team: Everton)
Top 3: Carlos Vinícius(Team: Fulham)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
Ast,"Top 1: Ollie Watkins(Team: Aston Villa)
Top 2: Cole Palmer(Team: Chelsea)
Top 3: Martin Ødegaard(Team: Arsenal)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tosin Adarabioyo(Team: Fulham)
Top 3 from bottom: : Tayo Adaramola(Team: Crystal Palace)"
xAG,"Top 1: Mohamed Salah(Team: Liverpool)
Top 2: Son Heung-min(Team: Tottenham)
Top 3: Bruno Fernandes(Team: Manchester Utd)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
xA,"Top 1: Martin Ødegaard(Team: Arsenal)
Top 2: Bukayo Saka(Team: Arsenal)
Top 3: Bruno Fernandes(Team: Manchester Utd)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tayo Adaramola(Team: Crystal Palace)
Top 3 from bottom: : Val Adedokun(Team: Brentford)"
A-xAG,"Top 1: Ollie Watkins(Team: Aston Villa)
Top 2: Rodri(Team: Manchester City)
Top 3: Pedro Neto(Team: Wolves)","Top 1 from bottom: Bruno Fernandes(Team: Manchester Utd)
Top 2 from bottom: : Dominik Szoboszlai(Team: Liverpool)
Top 3 from bottom: : Andrew Robertson(Team: Liverpool)"
KP,"Top 1: Bruno Fernandes(Team: Manchester Utd)
Top 2: Pascal Groß(Team: Brighton)
Top 3: Martin Ødegaard(Team: Arsenal)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
1/3,"Top 1: Rodri(Team: Manchester City)
Top 2: Pascal Groß(Team: Brighton)
Top 3: Declan Rice(Team: Arsenal)","Top 1 from bottom: Tayo Adaramola(Team: Crystal Palace)
Top 2 from bottom: : Val Adedokun(Team: Brentford)
Top 3 from bottom: : Adrián(Team: Liverpool)"
PPA,"Top 1: Martin Ødegaard(Team: Arsenal)
Top 2: Bruno Fernandes(Team: Manchester Utd)
Top 3: Bukayo Saka(Team: Arsenal)","Top 1 from bottom: Tyler Adams(Team: Bournemouth)
Top 2 from bottom: : Tayo Adaramola(Team: Crystal Palace)
Top 3 from bottom: : Val Adedokun(Team: Brentford)"
